,0
log_ad_revenue_usd,0.9999999747576245
watch_time_minutes,3.279338408513128e-09
video_length_minutes,2.71336030693207e-09
avg_watch_time_per_view,2.509573089679844e-09
log_watch_time_minutes,1.6457662997225579e-09
engagement_rate,1.584975062299229e-09
likes,1.4667379740797484e-09
subscribers,1.3213825115374168e-09
comments_per_view,1.2132455997558981e-09
comments,1.1317494388414557e-09
views,1.063723306222058e-09
likes_per_view,1.0234928099122782e-09
dayofweek,9.56624067243683e-10
log_views,8.141506591758449e-10
month,6.459327252014823e-10
country_UK,5.997479968267757e-10
device_TV,4.676094281380149e-10
log_subscribers,4.2316034020575997e-10
category_Gaming,4.0399266230398295e-10
category_Lifestyle,3.9270376807737184e-10
category_Entertainment,3.706011859669394e-10
country_DE,2.2086129745912434e-10
country_IN,2.1473585206252494e-10
category_Tech,1.7777603365438603e-10
year,1.5959213246524394e-10
country_US,1.319189484868664e-10
category_Music,1.2525938421969997e-10
device_Tablet,6.870940529857124e-11
device_Mobile,6.857868036860396e-11
country_CA,4.7076219199628643e-11
